#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|SAVU||BHZ|-10.5476|121.8613|120.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-14T00:00:00|2016-12-31T23:59:59
YS|SINA||BH1|-8.1838|122.9124|5.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-29T00:00:00|2016-12-31T23:59:59
YS|SINA||BH2|-8.1838|122.9124|5.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-29T00:00:00|2016-12-31T23:59:59
YS|SINA||BHZ|-8.1838|122.9124|5.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-29T00:00:00|2016-12-31T23:59:59
YS|TL01||BH1|-9.2068|124.364215|21.0|0.0|0.0|0.0|Banda|1.19642E9|0.3|m/s|50.0|2014-03-20T00:00:00|2015-03-24T23:59:59
YS|TL01||BH2|-9.2068|124.364215|21.0|0.0|90.0|0.0|Banda|1.19642E9|0.3|m/s|50.0|2014-03-20T00:00:00|2015-03-24T23:59:59
YS|TL01||BHZ|-9.2068|124.364215|21.0|0.0|0.0|-90.0|Banda|1.19642E9|0.3|m/s|50.0|2014-03-20T00:00:00|2015-03-24T23:59:59
YS|TL02||BH1|-8.9884|125.208|271.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-19T00:00:00|2018-12-31T23:59:59
YS|TL02||BH2|-8.9884|125.208|271.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-19T00:00:00|2018-12-31T23:59:59
YS|TL02||BHZ|-8.9884|125.208|271.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-19T00:00:00|2018-12-31T23:59:59
YS|TL03||BH1|-8.6043|125.5572|692.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-15T00:00:00|2018-12-31T23:59:59
YS|TL03||BH2|-8.6043|125.5572|692.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-15T00:00:00|2018-12-31T23:59:59
YS|TL03||BHZ|-8.6043|125.5572|692.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-15T00:00:00|2018-12-31T23:59:59
YS|TL04||BH1|-8.2213|125.6065|12.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-25T00:00:00|2018-12-31T23:59:59
YS|TL04||BH2|-8.2213|125.6065|12.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-25T00:00:00|2018-12-31T23:59:59
